country_code,feature_code,lambda_A,lambda_M,guiding_score
IDN,SP.RUR.TOTL.ZS,0.1,10.0,6.497770453445721
IDN,SP.DYN.LE00.MA.IN,10.0,10.0,6.509205439198047
IDN,SP.DYN.LE00.IN,10.0,0.1,6.490807391583316
IDN,NY.GDP.MKTP.CD,0.1,10.0,5.5538445803214405
IDN,NE.IMP.GNFS.ZS,10.0,10.0,3.904513827422207
IDN,NE.EXP.GNFS.ZS,10.0,10.0,4.279600327495613
IDN,NY.GDP.MKTP.KD.ZG,0.1,10.0,2.1680431388943715
IDN,SH.DYN.MORT,10.0,10.0,6.329230146443705
IDN,EG.USE.PCAP.KG.OE,10.0,10.0,4.483791590559575
IDN,EN.ATM.GHGT.KT.CE,10.0,10.0,5.148837093422742
IDN,NV.AGR.TOTL.ZS,0.1,10.0,4.170158348857367
IDN,FS.AST.PRVT.GD.ZS,1.0,10.0,4.693125726010439
IND,SP.URB.TOTL.IN.ZS,0.1,10.0,6.505829618189679
IND,SP.RUR.TOTL.ZS,0.1,10.0,6.487790731788901
IND,SP.DYN.LE00.MA.IN,10.0,10.0,6.442693738315733
IND,SP.DYN.LE00.IN,10.0,10.0,6.429472573378572
IND,NY.GDP.MKTP.CD,0.1,10.0,5.568316978704241
IND,NE.IMP.GNFS.ZS,0.1,10.0,4.252470587805874
IND,NE.EXP.GNFS.ZS,10.0,10.0,3.7190821820616646
IND,NY.GDP.MKTP.KD.ZG,0.1,1.0,4.0110804267965525
IND,SH.DYN.MORT,0.1,10.0,6.523954434087342
IND,EG.USE.PCAP.KG.OE,0.1,10.0,5.6123370347410795
IND,EN.ATM.GHGT.KT.CE,10.0,10.0,6.074967493857121
IND,NV.AGR.TOTL.ZS,10.0,0.1,3.004493621508411
IND,FS.AST.PRVT.GD.ZS,0.1,10.0,4.753531547609198
ITA,SP.URB.TOTL.IN.ZS,0.1,10.0,6.38151155969665
ITA,SP.RUR.TOTL.ZS,0.1,10.0,6.401776081848287
ITA,SP.DYN.LE00.MA.IN,0.1,10.0,6.182068368257084
ITA,SP.DYN.LE00.IN,0.1,10.0,6.108251756734229
ITA,NY.GDP.MKTP.CD,0.1,1.0,3.7871939182573797
ITA,NE.IMP.GNFS.ZS,0.1,10.0,3.3872651413107273
ITA,NE.EXP.GNFS.ZS,1.0,10.0,4.977206994802065
ITA,NY.GDP.MKTP.KD.ZG,10.0,1.0,4.13032723548354
ITA,SH.DYN.MORT,0.1,10.0,6.115910183088146
ITA,EG.USE.PCAP.KG.OE,0.1,0.1,5.238871804223634
ITA,EN.ATM.GHGT.KT.CE,0.1,0.1,5.378223781177194
ITA,NV.AGR.TOTL.ZS,0.1,10.0,3.5661740943418887
ITA,FS.AST.PRVT.GD.ZS,0.1,10.0,5.927610084495233
JPN,SP.URB.TOTL.IN.ZS,0.1,10.0,5.769207949971245
JPN,SP.RUR.TOTL.ZS,0.1,10.0,6.0173498149563125
JPN,SP.DYN.LE00.MA.IN,10.0,10.0,5.956802190762028
JPN,SP.DYN.LE00.IN,0.1,10.0,5.8020125059304455
JPN,NY.GDP.MKTP.CD,0.1,10.0,4.625582951330282
JPN,NE.IMP.GNFS.ZS,1.0,10.0,4.083157708018886
JPN,NE.EXP.GNFS.ZS,1.0,10.0,3.683647802698479
JPN,NY.GDP.MKTP.KD.ZG,10.0,10.0,3.821574400529033
