country,target,rmse,std,rmse/std,r2,mase,da,guiding_score,best_guiding_cv,best_params
DEU,FS.AST.PRVT.GD.ZS,6.541212719890887,6.810923865017364,0.9604002114145216,0.0776314339149422,2.171873142891426,0.75,4.4358146508088465,4.4358146508088465,"{""p"": 2, ""d"": 0, ""q"": 0}"
DEU,NE.IMP.GNFS.ZS,3.5449512314128584,2.043651668676833,1.7346161705277519,-2.008893259056363,2.039292980234257,0.75,3.524430477092106,3.524430477092106,"{""p"": 2, ""d"": 1, ""q"": 0}"
DEU,NY.GDP.MKTP.CD,197043864153.9016,197209236733.18243,0.9991614359346436,0.0016764249410214926,0.8266465223344154,0.5,4.227898696120821,4.227898696120821,"{""p"": 2, ""d"": 1, ""q"": 1}"
DEU,NE.EXP.GNFS.ZS,2.362474456674962,2.4382107893455127,0.968937741969848,0.06115965218637209,0.8136198834613375,0.5833333333333334,4.433033758665248,4.433033758665248,"{""p"": 2, ""d"": 1, ""q"": 0}"
DEU,NY.GDP.MKTP.KD.ZG,3.3478563405717243,2.829933403030617,1.18301594552948,-0.39952672737701,0.8550946132311478,0.75,4.3521065351864765,4.3521065351864765,"{""p"": 2, ""d"": 1, ""q"": 0}"
DEU,EN.ATM.GHGT.KT.CE,63740.71170038687,30218.12965362538,2.1093533064757257,-3.449371371540077,2.8419676891652212,0.5,2.780410172515862,2.780410172515862,"{""p"": 2, ""d"": 1, ""q"": 0}"
EUU,SP.DYN.LE00.IN,0.16706039132478098,0.6535971144201941,0.255601482379524,0.9346678822053899,0.5991192388890755,0.75,5.815938256842013,5.815938256842013,"{""p"": 2, ""d"": 1, ""q"": 0}"
EUU,SP.URB.TOTL.IN.ZS,0.09369717850469202,0.7350158505943448,0.12747640534408486,0.9837497660805505,0.3866368736859406,1.0,6.396229455362546,6.396229455362546,"{""p"": 2, ""d"": 1, ""q"": 1}"
EUU,NV.AGR.TOTL.ZS,0.07277727830629867,0.06315332708832277,1.1523902486486004,-0.3280032851803829,0.8144410832943191,0.4166666666666667,3.8221878386640906,3.8221878386640906,"{""p"": 1, ""d"": 1, ""q"": 0}"
EUU,EG.USE.PCAP.KG.OE,126.83272126297159,94.20202545555979,1.346390596694818,-0.8127676388682279,1.5447008455088842,0.4166666666666667,3.3698542091639503,3.3698542091639503,"{""p"": 2, ""d"": 0, ""q"": 1}"
