country_code,year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
IND,1980,-5.704508633033186,0.8915746766447284,0.06392913449906014,0.08102456911900754,-0.13965746605675225,0.1802127276416338,0.8973607955675676,0.36301128423270534,0.022126184738695147
IND,1981,-5.570830100500658,0.9036545914473784,-0.034790961372806226,0.12991616550728177,-0.22324661073644128,0.10547471079372987,0.8358910987031449,0.29387982735094825,0.04066903322018026
IND,1982,-5.406005275332341,0.887451155936788,-0.16763882769079397,0.24231185792511298,-0.6547546362085346,-0.06655268149785215,0.7679416892869592,0.1813918501263397,0.12434681073357264
IND,1983,-5.4504374476252515,0.9703480023956523,-0.06132310662607531,0.07998329163945907,0.08654616551667875,0.08659597219226987,0.8546617585632833,0.24297127957709894,0.021748080370046767
IND,1984,-5.2519393927658315,0.9333883815083189,-0.19036665953684956,0.21934005723519667,-0.5343646127266665,-0.12422927012952438,0.7863226498312975,0.11508144607178564,0.11875840182979042
IND,1985,-5.172431244215476,0.9530048878289368,-0.20207673059480005,0.27447769594382926,-0.20157347020748587,-0.07256441383240099,0.7172798571771634,0.10424147996406023,0.046284123858465614
IND,1986,-5.058489659524097,0.9725374759830638,-0.27018676200823166,0.339574962243133,-0.24286581160923207,-0.12001980949834136,0.653060459593847,0.048278183863022954,0.05306046699795767
IND,1987,-4.950302340462206,0.9469235026732284,-0.30165726092043976,0.3524874893800591,-0.3727212998905827,-0.2047766361404066,0.6407886799903257,0.007826188668336296,0.06602302229996929
IND,1988,-5.040339251743494,1.0341080505234972,-0.043627454589159,0.0879324776184874,0.700681621608641,0.02446229623694951,0.7250956882375263,0.08690099551172388,-0.0939665978134457
IND,1989,-4.810777514880996,0.9614986958860756,-0.10083352909900903,0.23682210187434186,0.027324111954592844,-0.2047698578075451,0.6637969446308521,-0.04494736210475562,-0.004849892770128366
IND,1990,-4.745764581195832,0.8991527895952431,-0.1296186539456463,0.1805815473822632,-0.03943537617278443,-0.2874261063100258,0.719537372594733,-0.0488846476842341,0.03317625584169224
IND,1991,-4.567156779996242,0.8110632544830145,-0.2444636735050848,0.35549229237578445,-0.8701225195630469,-0.578802024372604,0.7324832759285055,-0.18620780442120508,0.08179242371581101
IND,1992,-4.557726092603102,0.8417143442276465,-0.004074937179013141,0.10503837236446747,-0.027495340389579143,-0.39819987353861125,0.7521795494550031,-0.13146117453834513,0.022648547622462697
IND,1993,-4.495688814914861,0.8271044890407928,0.002423511574169834,-0.07533335973564358,-0.1810701120175756,-0.5158372093616693,0.8055561482814314,-0.18250222814984388,0.11092093457058634
IND,1994,-4.438454481307813,0.8422232976806395,0.0926759997090387,-0.1057066588486205,0.21189121717720893,-0.4632130880292609,0.7981834307385246,-0.17152843370721874,0.02489884520916377
IND,1995,-4.276861513088433,0.7677260572551475,0.2746357614073629,-0.15708244091251672,0.39739198291079103,-0.4677764470151727,0.7166624102792313,-0.2033796404668002,-0.035115304664742525
