country_code,year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
DEU,2000,2.515064816331698,0.5903510029438103,-0.29375122019512295,-0.016299729290030686,0.3590277157966012,0.19444142206760257,0.021421009668953262,0.24517452909022716,0.23977715776985895,0.5770119154956308,-0.054003516680804525
DEU,2001,2.639236590361114,0.591765322290194,-0.40296441683849155,0.027898380027808423,0.30542975265808014,-0.10791981620656693,-0.01716994046777813,0.23934080719223083,0.21278655469724653,0.5985254073736448,-0.12759525806751795
DEU,2002,2.8299847473419506,0.6622028438699519,-0.3796346636626965,0.23205784180708625,0.07473143350182133,-0.5681539285968926,-0.11997968848935718,0.04697998224804425,0.18654445332735867,0.6133980043016876,-0.1449267009150037
DEU,2003,3.008741060739286,0.8094054831703771,-0.29473188398175093,0.4238730100638694,0.05069719214387429,-0.7294095472127594,-0.23409543777034766,-0.08551025917674956,0.050518996213733784,0.583093471116703,-0.10283173204095805
DEU,2004,3.1248381483243524,1.097022453145852,-0.5168947908603327,0.5698353419268406,0.14836988717046024,-0.44558625241654715,-0.5498672089344903,-0.13585132857801258,-0.167587333216381,0.47788923335896566,-0.07149447885810223
DEU,2005,3.325302633707703,1.3909467998785048,-0.6088739753240494,0.6762872379784146,0.15637566056473445,-0.5532349875348674,-0.5412859363325879,-0.0736303242280127,-0.26074362383996325,0.46908846315788927,-0.10301182999654393
DEU,2006,3.4190075418875154,1.6860537940053408,-0.9890976735343082,0.7457019639650498,0.26213178161500966,0.08113927212275339,-0.68297174755225,0.12504082039497844,-0.42816176334042694,0.3154142631912733,-0.07798983563478301
DEU,2007,3.5548949772248557,1.7764862308469318,-1.2945808487056643,0.8482403823645384,0.05232078350984921,-0.03650746418179502,-0.4824014719108137,0.20328757026324532,-0.58937717200005,0.32544476440919706,-0.07481581364543548
DEU,2008,3.768326739875966,1.8344211764288985,-1.4513841047436553,0.987782148877891,-0.09545520190115185,-0.42260247119188277,-0.26439142183739106,0.26149874549196256,-0.5944536259923427,0.3747435369384864,-0.07415006261803728
DEU,2009,3.851496443424101,1.4277638713438865,-0.9388179281496064,0.9499504095847008,-0.5870920529380581,-1.7671607535679328,0.12185249507104952,0.0015154674868899012,-0.34081668028201023,0.5817664496722371,-0.1856677813428261
DEU,2010,3.6575549251258033,1.7995986125051053,-1.402973659732365,0.7522378155816222,-0.05755111367444584,0.23914436994624366,-0.2769445671438595,0.2180518368966037,-0.5018479061234921,0.04033951765333023,0.05203905906968596
DEU,2011,3.7376644971782826,1.949939475723435,-1.6995433556847759,0.7790152370108171,-0.029380247120560234,0.23555376097679484,-0.16181348396068576,0.48472142582080957,-0.715940487994359,0.15273050790728213,0.14027361901803334
DEU,2012,3.8599903156513844,1.9677339868279564,-1.698698828105088,0.7733323392758056,-0.12447450549481637,-0.4764410372235919,0.055426947797271954,0.6156322960272713,-0.6728238606376933,0.2870531783868435,0.08706450312573155
DEU,2013,3.911430492572927,1.9247351325068347,-1.7443212246731754,0.8646799891883435,-0.2385840010229266,-0.49373955397904656,0.015426377501405216,0.5440819469047686,-0.7110171453079954,0.20762076585146913,0.05596977327643758
DEU,2014,3.9159281323581174,1.9048032219678301,-1.8880096334518182,0.8466297140613775,-0.3076462288098273,-0.11951517829039794,-0.09101672248745046,0.5147763751085067,-0.7696977640377904,0.10335745470468866,0.09864794774389031
DEU,2015,3.9158943621371796,1.9709855808329682,-1.9050466082805386,0.7683097002150685,-0.2996678059428927,-0.28405938876699605,-0.08917993984197761,0.6519546876648957,-0.6983108951681456,0.08166812074345824,0.03607554573010174
DEU,2016,3.921582312960202,1.883808130447609,-2.003380244605804,0.7655348270211669,-0.3838452436572284,-0.1196082045646173,-0.09755067588009649,0.613496109057124,-0.7077660241222243,0.00234456418002746,-0.008889937047094083
DEU,2017,4.013009971321243,2.025450489179511,-2.101489661319354,0.8522837777798803,-0.36852803936178885,-0.03378832636891582,-0.0677579635306721,0.6520694991976853,-0.7580490641957862,-0.035709546976043324,0.010593516452699361
DEU,2018,4.089202651590765,2.04462245004919,-2.132390957778227,0.9118672613855188,-0.361809372962097,-0.2893832933142895,0.04912623056076384,0.7051076525603741,-0.7679222310830794,0.07645151873959703,0.10882282402584673
DEU,2019,4.121319236315547,2.0135078829214894,-2.1140796316708634,0.9130367549193944,-0.41931061214055826,-0.41892699723166194,0.1250107629435898,0.7111161097394679,-0.6937174097567296,0.11659933499590411,0.09949105473551276
DEU,2020,4.2166791302987985,1.6713850306969946,-1.8764992893455763,0.9642103088987336,-0.7151506797673756,-1.5124099962616464,0.3616863807761923,0.62521418169493,-0.4997392235600218,0.43725894921432285,0.04642307496331732
EUU,1960,-0.304942131205561,-1.1557483526860206,0.6340783576101119,0.41827456025855336,1.111384321511579,0.4855154435324441,0.960412931274066,0.1570693372298817,-0.4219183096401789,0.6058154167314,-1.6177557788989716
EUU,1961,-0.25626501225092563,-1.1695125012465495,0.6249734609318569,0.38608756056400956,1.1081396915725177,0.4895498802883195,0.9600852505874711,0.1556209573200641,-0.4145914453490183,0.6085398061479294,-1.6006988379875386
EUU,1962,-0.23598973388509184,-1.184389735842237,0.6247257541766749,0.3679854904092549,1.1258377208225665,0.477763660362861,0.9311752340981309,0.15641736623473382,-0.40131519099189455,0.5874605584199843,-1.5818512230975397
EUU,1963,-0.18641383286791857,-1.2030041722275284,0.6164483614426894,0.33624067127440593,1.1330343540177081,0.4760055099436373,0.9183658657005435,0.16046163504361666,-0.3841097229978232,0.5793977685069422,-1.560055423316151
EUU,1964,-0.13123305109443428,-1.2196259411470247,0.6060917995583983,0.30100514885621327,1.1319914022824327,0.4795291187852942,0.9157678057291787,0.16144803513547484,-0.3721859101102283,0.5802087100588454,-1.5401405368057761
EUU,1965,-0.10004955756238054,-1.2308839128763711,0.6021795223383758,0.27472923285178547,1.133863454604015,0.4773021292182929,0.9051647438318451,0.154547928992833,-0.37056318186454934,0.5756596622639966,-1.524062079095307
EUU,1966,-0.05809722636957747,-1.2441109112011024,0.5952090524954949,0.24465496996115557,1.133509885150559,0.47830321026687206,0.8995395557857514,0.15112280100692235,-0.36482199946898264,0.5745758510505137,-1.506829859962133
EUU,1967,-0.0300271676583283,-1.2592847888706569,0.5912491925938784,0.22932617513144943,1.144381745710589,0.4732966844631687,0.8851900188568481,0.14356561694360323,-0.3635859975240216,0.5641342439927269,-1.4819325442435143
EUU,1968,0.009621187919715415,-1.281339881908833,0.584851487071041,0.2117982039861606,1.1644047513155364,0.46574999656792804,0.8632872510237196,0.14858387824740998,-0.3445439058048658,0.545706474034508,-1.452558798156428
EUU,1969,0.04041389176445015,-1.3057250774539726,0.5803372119089244,0.2050957393460091,1.1943573352750505,0.4533055737209989,0.8335895264479214,0.15376277489592569,-0.3246670712136658,0.5189065415037231,-1.4176699108338175
EUU,1970,0.12733143384818754,-1.357069396224803,0.5629501451929759,0.18467482546170516,1.2510275513337217,0.4371317398175511,0.7863237489717948,0.1982152169076915,-0.247133238784963,0.4716382116803224,-1.3605954438455474
EUU,1971,0.14799357381155973,-1.3979102194043984,0.5600804964910032,0.18454814359255667,1.259876472900041,0.4361122426439863,0.7839501709633291,0.1683085389991917,-0.2562492553030782,0.4569692001678257,-1.3458214874002759
EUU,1972,0.1996965925181111,-1.4583534377126726,0.5031868115417031,0.2114309492299931,1.3377775215947836,0.6702513523255792,0.7336721455399184,0.1470036626675356,-0.2713689051334282,0.370536016216769,-1.3404911900887533
EUU,1973,0.2815512946369599,-1.4479293301504996,0.41147172985880204,0.2961523352285093,1.52018796805913,0.9208926808610617,0.6915285392738185,0.18087365549454235,-0.3295579553303362,0.268747028536771,-1.3164362037196498
EUU,1974,0.5409933198883436,-1.1407103963710619,0.420726831189011,0.3614218671311506,1.6549128070494536,0.3331475128900721,0.9961952374445165,0.3667345773411142,-0.3762221835537666,0.3949321295277617,-1.2179903939693013
EUU,1975,0.6445599563577337,-1.324244377768956,0.5981966624579127,0.3604231664550279,1.4615091433708074,-0.4335424933355878,1.3006916726423061,0.18660051729599442,-0.23648440995512832,0.43399143553031605,-1.1635701486719618
EUU,1976,0.6393887591809025,-1.2303590936699489,0.4744079388629158,0.4158769997342798,1.6919019873007501,0.7245751852079616,1.0220920702860985,0.2109586346473101,-0.29549467763099635,0.12409030908390174,-1.1728517256187803
EUU,1977,0.7547917694201253,-1.2599661398291013,0.542188780517707,0.45050417338732185,1.659019245058545,0.32659218083368385,1.1895012036320132,0.20081607450865205,-0.2800378318015963,0.17851889748843103,-1.1188593297494842
EUU,1978,0.8292608491165457,-1.3830654378935274,0.5751699772246921,0.5266956845330212,1.6998752099773295,0.3750701910542951,1.2546699420841145,0.0882975718686357,-0.25580328415992853,0.058864989375564565,-1.0675773035868712
EUU,1979,0.9503630770377526,-1.3145966538853113,0.5085491307186856,0.6332918480879013,1.8833090775899837,0.5482760055937987,1.3102499734664523,0.10736206116642931,-0.3314348042766068,-0.004843334260354151,-0.9750329610909328
EUU,1980,1.0991434495196015,-1.1730477133798047,0.58831477724529,0.6960611248170916,1.8918684385290492,0.21336196292537155,1.5296984349209473,0.14563733137676085,-0.35308502303644823,0.06323269799166972,-0.8442065053932247
EUU,1981,1.166513289532325,-0.9942030150947658,0.60103529249118,0.5964852490562392,1.8529425996322735,-0.11020560917630014,1.6229755647181665,0.24171054771028636,-0.3205286905523439,0.16240150775394577,-0.8664953691163995
EUU,1982,1.194589007995973,-0.9313280303469327,0.6503222808245718,0.5466441566335793,1.7961446977865159,-0.02785355618062295,1.6617872299195215,0.19852694588660963,-0.2670598656952935,0.11137298401163484,-0.8465979857463461
EUU,1983,1.1938562509119655,-0.9170642782829286,0.680792212141184,0.5293129527711328,1.7787674042861046,0.11318568795529353,1.6250888346422379,0.18781493835746813,-0.24528796079526985,0.051410980171151865,-0.8517185984569929
EUU,1984,1.245376099730391,-0.786758714450481,0.624112889515543,0.5211629121293783,1.8846197969868697,0.3280565919749293,1.582894560746975,0.257173820895104,-0.2519971442373455,-0.018699193641611146,-0.8547978717487721
EUU,1985,1.3049192333471706,-0.7746413449393019,0.6493934806699405,0.5388640020086751,1.9024414953176312,0.30845612663363886,1.6133100891126122,0.2720991615137471,-0.22423161505871442,-0.053884288215170995,-0.825852686336263
EUU,1986,1.3360321759161435,-1.1272611153099312,0.7912215338719497,0.6672563451241396,1.7573639691660845,0.4123568929845942,1.7154603124900987,-0.044237843188878065,-0.19101115279001765,-0.174012423302409,-0.6484711282889072
EUU,1987,1.4243964630717136,-1.2127329029877727,0.7879274569417715,0.7917305161441054,1.787928160599648,0.42807291469068354,1.7877482611399045,-0.12816788671652532,-0.2620522082988992,-0.17637417465004163,-0.4631680238667613
EUU,1988,1.4318706045648357,-1.2076745039436834,0.6736683465895145,0.8518219762540515,1.8757792999529528,0.7750370930960618,1.6680182132854968,-0.118374595939946,-0.3837370275699273,-0.18864985782325222,-0.3724673262689858
EUU,1989,1.5101951518533523,-1.101067166072677,0.6284929098257884,0.8832923831842976,1.9451137889002716,0.7299197007462116,1.687652899081488,-0.028688246595891594,-0.43477906003630323,-0.1573509074359589,-0.3288065313627453
EUU,1990,1.5682199130176184,-1.041102233580327,0.64403663203226,0.9409640798850512,1.8016814803546133,0.6537428402514188,1.7407626437058936,-0.17046518611734637,-0.5158557305154617,-0.05386241166192219,0.11842473744646244
EUU,1991,1.7285759119429136,-0.9956378286342736,0.8279744113109963,0.9954191919777415,1.7198695468470064,0.38404615044249923,1.9597359792068914,-0.1932721331902334,-0.4551560251151598,-0.11747116703992083,0.2058264383743986
EUU,1992,1.8493279965977913,-0.9811796316070147,0.9195080178222236,1.0713916149306348,1.6970675229323489,0.2583686280188489,2.050033297588749,-0.32384954661267734,-0.5003518922902243,-0.1313603168844311,0.37072965563870103
EUU,1993,1.906858035683873,-0.9315773017514719,1.1914644570599298,0.9836543738750112,1.6289703753434253,-0.165509629877731,1.9666028765074215,-0.4064187176864085,-0.39683916667874997,-0.16314600196745757,0.24605487470671333
EUU,1994,1.9377165300359354,-0.7965383204565905,1.091296076426399,1.0541572116742457,1.7807579797465938,0.47818525158064773,1.6921544056670375,-0.4214584385741256,-0.5537653147899511,-0.29714027776860674,0.3380251078003488
EUU,1995,2.2312438040554987,-0.6639128141178678,1.1809292475120765,1.3010959681177154,1.8607001879284317,0.5658972349625129,2.074830282383439,-0.5112095965803254,-0.5067061493368865,-0.5668996780276627,0.6063690568233965
EUU,1996,2.314084039309615,-0.7176649353655983,1.0935045883332752,1.3666353741026571,1.867267480288446,0.3953541456411484,1.9895541501280967,-0.4095670472679185,-0.5914901878869292,-0.47466469382532045,0.5893598230542431
EUU,1997,2.387820505180245,-0.45203627057172563,0.9707759932427641,1.303273171878302,1.8359010745650484,0.5497344028866588,1.8551232129775657,-0.20845405394216954,-0.5993307065391685,-0.4730148164582319,0.4680753484572474
EUU,1998,2.4958735212894534,-0.38428536404560265,0.821979412540952,1.3945619073919646,1.7551447198093333,0.6386541144037442,1.7941672695070727,-0.15834968123479373,-0.6864308389114692,-0.44343043789820685,0.47457286522608044
EUU,1999,2.661224246288089,-0.23761669717744244,0.7239920663045475,1.5130560110722109,1.562065572545942,0.6187156034905475,1.7137621306038828,-0.16024149446387814,-0.7332030286195701,-0.4602308360963751,0.39461475931271994
EUU,2000,2.87488686967433,0.23875852219084637,0.4006386476649861,1.5921229844282871,1.550145698315685,0.7626645397840099,1.5518388476211835,0.046926930772003814,-0.8193871039720317,-0.49980812544247016,0.17266666363187483
EUU,2001,3.058783838751543,0.19163139717296065,0.2638360707230484,1.7099577492108224,1.3731334140193034,0.3799686286214503,1.5953326480055183,-0.006406825135054526,-0.7976321561854901,-0.4991647895428898,0.09533106643261426
EUU,2002,3.2203414215096844,0.10827818316152224,0.22958838475406154,1.9024963646745419,1.222072778079066,0.12182731730282521,1.5396239070899982,-0.21220695629022152,-0.851610908100553,-0.5101137795546072,0.164823178288312
EUU,2003,3.4641014224560185,-0.030375375422736214,0.11970048595926126,2.3066037066620555,1.2272324691662488,0.08511271674365489,1.5718700548154967,-0.46507909525384317,-1.0451805560281513,-0.5413315097733862,0.45440917743879966
EUU,2004,3.683987540146947,0.06752777149465354,-0.12353670756396085,2.6270625490798354,1.3390984431215287,0.4215083649146685,1.4485859055384918,-0.5885558700738374,-1.2961782130765866,-0.5700183709720319,0.70655492675198
EUU,2005,3.9293867500013375,0.22656986327919276,-0.24785681112879138,2.8389246456876056,1.3070929534117945,0.3132720053336938,1.4979084540678838,-0.5716971754193723,-1.3471746212753233,-0.4925854323304068,0.7575466310524445
EUU,2006,4.149415303665748,0.4107358046311502,-0.5281081688270878,3.0754365480858326,1.3442390875466885,0.6853765944088545,1.4872164460301793,-0.5212101991454221,-1.4768148482588754,-0.4881654328708119,0.8771632896876589
EUU,2007,4.4239612117539195,0.3939859496642855,-0.8125875243414572,3.4990377078578914,1.3033109215684324,0.6881298895016947,1.6544324798776882,-0.6500824767034166,-1.7095645685107783,-0.3903066228820117,1.2096253198759397
EUU,2008,4.705674106517046,0.3875694949325319,-0.8715446839865651,3.803431944589535,1.2740102784276834,0.2000803991469289,1.894093684540371,-0.7834164571180381,-1.8404131344974812,-0.2613276542459711,1.4979107136820629
EUU,2009,4.692829590444939,0.18615018050305238,-0.24197296362040266,3.561128991195448,0.7808125800268553,-0.9041698497012769,1.8905335447872338,-1.0966863513567213,-1.4676295828486763,-0.14411214775376535,1.2022237439055108
EUU,2010,4.712675060025775,0.6328402178956265,-0.4504623752132226,3.5700517517135673,1.1427830119947238,0.3963093712881338,1.4840550573242872,-0.9812652869329496,-1.6095099844126772,-0.4980994449392123,1.2411411549304805
EUU,2011,4.894200190358103,0.8239110938373401,-0.6342583206263577,3.755860950865678,1.2683485448010599,0.3387316757670278,1.560658299863379,-0.9082551657808855,-1.8951113475430128,-0.387736707105652,1.5136589278126358
EUU,2012,4.965640144175787,1.0445427402761625,-0.4158021462476652,3.6370372953582746,1.17138574287662,-0.23774685266464787,1.5608162843204332,-0.7997558124123665,-1.817794007261765,-0.33776267842797475,1.3110755196238761
EUU,2013,5.0092127630063565,1.0520362196973918,-0.38933564949737565,3.7139735289424394,1.1619585594839261,-0.09319591519543721,1.5278617689433385,-0.9288018036590378,-1.9405101042387831,-0.3985440146935606,1.4527795597468418
EUU,2014,5.000786001656609,1.1141306709360532,-0.5428898924399166,3.6838905635114645,1.132759039652625,0.2645721138787311,1.5042793960825402,-0.9228536135404659,-2.042867290874351,-0.4534862711066087,1.5800487210268404
EUU,2015,4.861990239828765,1.2463417723704877,-0.6206313076331045,3.340500413325383,1.0579342865334775,0.3683902715649539,1.3528770713051588,-0.625985983303504,-1.8156402115696413,-0.5503186506343984,1.1940150934548854
EUU,2016,4.91308909982236,1.1190096143614796,-0.7549508758779042,3.3615708002746105,0.9558642883719904,0.34826476346653995,1.4492916422493065,-0.6146201070323094,-1.821269687783994,-0.5272934399513504,1.26023327497166
EUU,2017,4.987666815701833,1.1496082755231356,-1.0609632956926836,3.485026231649511,1.0527549059127406,0.5280508918056962,1.494288710033856,-0.5520973699173857,-1.9705938525422317,-0.5237620039416644,1.4447845440067284
EUU,2018,5.1391566749637905,1.131118650955227,-1.236677821177785,3.668722250858227,1.0619178489243857,0.4322720644946186,1.6644199531340191,-0.5543017030543832,-2.102690944487152,-0.4697159385755066,1.7295803211528713
