country_code,year,DT.DOD.DECT.CD,DT.DOD.DECT.GN.ZS,DT.ODA.ODAT.CD,DT.ODA.ODAT.GN.ZS,EG.ELC.ACCS.ZS,EG.FEC.RNEW.ZS,EG.USE.PCAP.KG.OE,EN.ATM.GHGT.KT.CE,EN.ATM.PM25.MC.ZS,EN.POP.SLUM.UR.ZS,FS.AST.PRVT.GD.ZS,FX.OWN.TOTL.ZS,GB.XPD.RSDV.GD.ZS,GC.TAX.TOTL.GD.ZS,GC.XPN.TOTL.GD.ZS,IC.BUS.EASE.XQ,IC.BUS.NREG,IT.CEL.SETS.P2,IT.NET.USER.ZS,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NV.AGR.TOTL.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,SE.TER.ENRR,SE.XPD.TOTL.GD.ZS,SG.GEN.PARL.ZS,SH.DYN.MORT,SH.H2O.SMDW.ZS,SI.POV.GINI,SI.POV.NAHC,SL.TLF.TOTL.FE.ZS,SL.UEM.TOTL.MA.ZS,SP.DYN.LE00.IN,SP.DYN.LE00.MA.IN,SP.RUR.TOTL.ZS,SP.URB.TOTL.IN.ZS,TX.VAL.TECH.MF.ZS,per_allsp.adq_pop_tot,per_allsp.cov_pop_tot
ARG,2001,152649929432.5,58.4932935172091,157639999.389648,0.0604054177334469,95.5110634674458,11.5088996887207,1570.89750079167,277330.0,,,20.833574652466,,0.42461,9.32489879390056,16.9923529034125,,,18.08631275,9.780807285,11.5790080825317,10.2732473690136,4.56858960891786,268696750000.0,-4.40883968258557,59.0115509033203,4.833740234375,,19.0,,53.3,,42.0121573412989,17.41,73.755,70.307,10.671,89.329,,,
ARG,2002,148320192549.3,159.890183546743,98989997.8637695,0.106711895768803,96.0472869873047,11.6190996170044,1510.31344277254,274150.0,,,15.3318584042485,,0.38886,9.81895834666325,19.6771706443151,,,17.42684502,10.88212438,28.3825969991682,13.370127359396,10.2066467144411,97724004251.8602,-10.8944848285903,62.7487297058105,4.01734018325806,30.7392996108949,18.3,,53.8,,41.4879738977067,20.13,73.932,70.484,10.49,89.51,,,
ARG,2003,163442688409.3,133.474955613907,117720001.220703,0.0961356674362457,96.3346328735352,10.8246002197266,1598.78962502126,295740.0,,,10.7627059172487,,0.41013,12.5187797002949,19.8373029880995,,,20.58984504,11.91369655,25.9309429264224,14.7138051046861,10.328166939117,127586973492.177,8.83704079576924,65.1762619018555,3.53504991531372,30.7392996108949,17.7,,50.9,,41.8348213318156,13.79,74.107,70.661,10.314,89.686,,,
ARG,2004,167999635827.3,114.783966038451,97339996.3378906,0.0665065181767243,96.6113433837891,9.28870010375977,1728.21409244578,310990.0,,,9.68251819633223,,0.40376,13.1007798994386,16.8763416365527,,,35.10441866,16.03668411,23.8476194239892,16.8450266849578,8.36248661002826,164657930452.787,9.02957330068152,65.4853668212891,3.48652005195618,33.7254901960784,17.1,,48.4,,42.1904252527798,11.87,74.28,70.835,10.14,89.86,,,
ARG,2005,130788488210.2,74.2469415660219,93870002.746582,0.0532887924931625,96.8763885498047,9.64350032806396,1720.67402286339,315570.0,99.4115039164003,26.2000007629395,10.6534929189359,,0.42074,13.1031756459852,,,,56.96774563,17.72058337,23.2458767338576,17.3053942367662,7.93875427420938,198737095012.282,8.85165992013437,63.9666709899902,3.86000990867615,36.1867704280156,16.5,,47.7,,41.8458474055113,10.03,74.451,71.008,9.96899999999999,90.031,,,
ARG,2006,118921233033.8,52.8927514497342,114209999.084473,0.0507973298000741,97.1323013305664,9.180100440979,1853.04176068156,330120.0,,,11.9102616607561,,0.45216,12.8788866954319,,,5956.0,80.19976545,20.9272021,23.0266946038115,17.4067852681036,6.93557229126392,232557260817.308,8.04715150043027,66.964729309082,4.12821006774902,35.0194552529183,16.1,,46.3,,42.0747352222363,8.4,74.62,71.179,9.8,90.2,,40.860254835823,33.3358348155909
ARG,2007,120818039247.5,43.1591873972818,90230003.3569336,0.0322323855609157,97.3851699829102,7.71659994125366,1858.39184324341,343550.0,,,13.0985413493544,,0.46007,12.4482684483004,,,6031.0,101.8079595,25.94663294,22.6627503115066,18.2824203070644,7.45235394606923,287530508430.568,9.00765087504757,66.4116287231445,4.46260023117065,40.0,15.7,,46.2,,41.7849405203153,7.01,74.787,71.347,9.634,90.366,7.03899565860373,,
ARG,2008,129752184881.3,36.8066405169797,125019996.643066,0.0354642665792869,97.6412200927734,7.65110015869141,1937.64151484529,347610.0,,,12.313946714342,,0.47055,13.3178463574032,,,6032.0,116.0393921,28.11262348,22.0609003826242,18.341772996414,7.3189545972436,361558037110.419,4.05723310346406,68.0569534301758,4.84440994262695,40.0,15.3,,44.9,,41.4966904885566,6.5,74.952,71.513,9.47,90.53,9.38030607187702,,
ARG,2009,133695121247.7,41.4356014785929,116029998.779297,0.0359607197638356,97.9066848754883,8.59099960327148,1865.33735598138,328570.0,,,12.4162075416805,,0.58398,12.3830415594157,,,4885.0,129.6422074,34.0,19.5609850560818,14.4961418494061,5.2736234689014,332976484577.619,-5.91852507634947,70.2064590454102,5.53105020523071,38.5214007782101,14.9,,43.7,,41.819393248478,7.78,75.116,71.676,9.309,90.691,9.07241108464142,,
ARG,2010,126642436908.2,30.9578740838785,130309997.558594,0.031854413060716,98.82,8.78750038146973,1928.65235658729,334590.0,99.4476413232427,20.7999992370605,12.6901062454749,,0.56104,12.8530426903255,,,5400.0,139.580018,45.0,18.9338234053709,16.0371898581987,7.13216745078964,423627422092.49,10.1253981561002,73.2313995361328,5.01971006393433,38.5214007782101,14.4,,43.6,,41.384291075795,6.67,75.278,71.837,9.151,90.849,7.74853973761623,37.0139554841883,37.8010070793346
