country_code,year,SP.URB.TOTL.IN.ZS,SP.RUR.TOTL.ZS,SP.DYN.LE00.MA.IN,SP.DYN.LE00.IN,NY.GDP.MKTP.CD,NE.IMP.GNFS.ZS,NE.EXP.GNFS.ZS,NY.GDP.MKTP.KD.ZG,SH.DYN.MORT,EG.USE.PCAP.KG.OE,EN.ATM.GHGT.KT.CE,NV.AGR.TOTL.ZS,FS.AST.PRVT.GD.ZS,SE.TER.ENRR,GC.TAX.TOTL.GD.ZS
ARG,1996,88.366,11.634,69.402,72.843,272149750000.0,11.0778716497076,10.4285967560139,5.52668982715234,23.1,1589.91755634679,272500.0,5.61086611323361,20.1870018252819,,8.17178777492906
ARG,1997,88.564,11.436,69.586,73.029,292859000000.0,12.7753287418177,10.5608501019262,8.1110467707457,22.1,1621.90909509539,274400.0,5.22197210944516,21.9334587634322,,8.69008635554994
ARG,1998,88.759,11.241,69.768,73.213,298948250000.0,12.934446011977,10.4155819610919,3.85017885156228,21.2,1658.49577179954,278480.0,5.25272256987622,24.1532987732827,46.9607009887695,9.03052618638845
ARG,1999,88.952,11.048,69.948,73.396,283523000000.0,11.5555704475475,9.82717451494235,-3.38545704063269,20.4,1668.22514401839,283170.0,4.45782610229152,24.8933437498898,48.8317184448242,9.07612433559182
ARG,2000,89.142,10.858,70.128,73.576,284203750000.0,11.6360695451767,10.9863752325576,-0.78899893905691,19.6,1669.52633732128,284590.0,4.67991094417297,23.8947336198062,53.9648094177246,9.62260350188905
ARG,2001,89.329,10.671,70.307,73.755,268696750000.0,10.2732473690136,11.5790080825317,-4.40883968258557,19.0,1570.89750079167,277330.0,4.56858960891786,20.833574652466,59.0115509033203,9.32489879390056
ARG,2002,89.51,10.49,70.484,73.932,97724004251.8602,13.370127359396,28.3825969991682,-10.8944848285903,18.3,1510.31344277254,274150.0,10.2066467144411,15.3318584042485,62.7487297058105,9.81895834666325
ARG,2003,89.686,10.314,70.661,74.107,127586973492.177,14.7138051046861,25.9309429264224,8.83704079576924,17.7,1598.78962502126,295740.0,10.328166939117,10.7627059172487,65.1762619018555,12.5187797002949
ARG,2004,89.86,10.14,70.835,74.28,164657930452.787,16.8450266849578,23.8476194239892,9.02957330068152,17.1,1728.21409244578,310990.0,8.36248661002826,9.68251819633223,65.4853668212891,13.1007798994386
ARG,2005,90.031,9.96899999999999,71.008,74.451,198737095012.282,17.3053942367662,23.2458767338576,8.85165992013437,16.5,1720.67402286339,315570.0,7.93875427420938,10.6534929189359,63.9666709899902,13.1031756459852
ARG,2006,90.2,9.8,71.179,74.62,232557260817.308,17.4067852681036,23.0266946038115,8.04715150043027,16.1,1853.04176068156,330120.0,6.93557229126392,11.9102616607561,66.964729309082,12.8788866954319
