country_code,year,SP.URB.TOTL.IN.ZS,SP.RUR.TOTL.ZS,SP.DYN.LE00.MA.IN,SP.DYN.LE00.IN,NY.GDP.MKTP.CD,NE.IMP.GNFS.ZS,NE.EXP.GNFS.ZS,NY.GDP.MKTP.KD.ZG,SH.DYN.MORT,EG.USE.PCAP.KG.OE,EN.ATM.GHGT.KT.CE,NV.AGR.TOTL.ZS,FS.AST.PRVT.GD.ZS,SE.TER.ENRR,GC.TAX.TOTL.GD.ZS,GC.XPN.TOTL.GD.ZS,IT.CEL.SETS.P2,SL.TLF.TOTL.FE.ZS,SL.UEM.TOTL.MA.ZS,IT.NET.USER.ZS,EG.FEC.RNEW.ZS,EG.ELC.ACCS.ZS,DT.ODA.ODAT.CD,DT.ODA.ODAT.GN.ZS,SE.XPD.TOTL.GD.ZS,SG.GEN.PARL.ZS,DT.DOD.DECT.CD,DT.DOD.DECT.GN.ZS,GB.XPD.RSDV.GD.ZS,SI.POV.GINI
JPN,2003,83.196,16.804,78.36,81.76,4445658071221.86,9.94383593192636,11.6392934662293,1.52822014817859,4.0,3953.18450805681,1290880.0,1.31480224997754,180.487647766097,,11.5907617945814,,67.66835986,40.7001315267931,5.55,48.43526589,4.23080015182495,100.0,,,3.52368998527527,7.08333333333333,,,3.04295,34.8
JPN,2004,84.64,15.36,78.64,82.030243902439,4815148854362.11,10.9503241482064,12.9720323077118,2.20468788221162,3.9,4078.21054155807,1282760.0,1.2423281853267,173.537014166392,,11.5907617945814,,71.35023936,40.8539869288608,4.9,62.39392963,4.27290010452271,100.0,,,3.483069896698,7.08333333333333,,,3.02952,34.8
JPN,2005,85.978,14.022,78.53,81.9251219512195,4755410630912.14,12.5030526614629,14.012441121792,1.662670405285,3.7,4062.97904878182,1283820.0,1.12536364829677,171.559173552962,,11.5907617945814,,75.18656608,40.996101608695,4.56,66.9210661,4.03809976577759,100.0,,,3.36861991882324,8.95833333333333,,,3.18099,34.8
JPN,2006,87.118,12.882,79.0,82.3219512195122,4530377224970.4,14.458879322927,15.8729022962927,1.42000655604306,3.6,4053.88343735824,1261900.0,1.09429154321186,168.965496298301,,11.5907617945814,,77.73234294,41.124592657789,4.26,68.68527032,4.44750022888184,100.0,,,3.3290901184082,9.375,,,3.27844,34.8
JPN,2007,88.146,11.854,79.19,82.5070731707317,4515264514430.57,15.6005719141407,17.4933165716298,1.65418388105051,3.5,4012.65424488871,1297980.0,1.06090374019961,162.044521582386,,11.5907617945814,,83.53615919,41.1180391727442,3.98,74.3,4.28760004043579,100.0,,,3.33094000816345,9.375,,,3.3396,34.8
JPN,2008,89.103,10.897,79.29,82.5875609756098,5037908465114.48,16.9749827016931,17.4240377234641,-1.09354060044625,3.4,3858.43452050944,1231180.0,1.05840864794359,160.140053391899,,11.5907617945814,,85.88467316,41.2658372395038,4.13,75.4,4.44579982757568,100.0,,,3.3191499710083,9.375,,,3.33718,34.8
JPN,2009,89.989,10.011,79.59,82.9314634146342,5231382674593.7,11.9699857610097,12.5209141554358,-5.41641279666185,3.3,3678.51113263099,1171570.0,1.08261270150623,167.822353784773,,11.5907617945814,,90.4633869,41.5942085905472,5.31,78.0,4.5128002166748,100.0,,,3.4793249368667603,11.25,,,3.2314,33.45
JPN,2010,90.812,9.188,79.55,82.8426829268293,5700098114744.41,13.5762507297335,15.0367569834071,4.19173925854747,3.2,3893.26660420083,1228240.0,1.10225982049905,160.35697933003,,11.5907617945814,,95.9116759,41.7308637163603,5.44,78.21,4.79400014877319,100.0,,,3.63949990272522,11.25,,,3.13708,32.1
JPN,2011,91.069,8.931,79.44,82.5912195121951,6157459594823.72,15.4680067601598,14.9249962098743,-0.115421339757418,3.2,3610.81216900174,1284770.0,1.0754189233601,159.611850425868,,11.5907617945814,,103.3168827,41.7647428565311,4.8,79.05411352,4.94029998779297,100.0,,,3.64258003234863,10.8333333333333,,,3.24477,32.36666666666667
JPN,2012,91.148,8.852,79.94,83.0960975609756,6203213121334.12,16.0913711326959,14.5447525563827,1.49508958593034,3.0,3537.3631698125,1327040.0,1.14179569465804,160.145038803355,,11.5907617945814,,109.8935958,41.9394354702457,4.55,79.4964,4.79570007324219,100.0,,,3.69226002693176,7.91666666666667,,,3.20908,32.63333333333333
